# #"Time" "KineticEnergy" "SolenoidalDissipation" "DilatationalDissipation""
7.650000000000000355e+00 1.071927115429192751e-01 6.718205592874437575e-03 4.305514258661773293e-04
7.700000000000000178e+00 1.068812170520424820e-01 6.840568777439184206e-03 4.217988711313344695e-04
7.750000000000000000e+00 1.065786502397805396e-01 6.961704941419884739e-03 4.131834137291182031e-04
7.799999999999999822e+00 1.062836564902216174e-01 7.082231514812447476e-03 4.047049223315902599e-04
7.849999999999999645e+00 1.059954429648816560e-01 7.203824069690890376e-03 3.969718083563726478e-04
7.900000000000000355e+00 1.057122746787965278e-01 7.327516319630668351e-03 3.900992053058464134e-04
7.950000000000000178e+00 1.054307708622515133e-01 7.450760358883998756e-03 3.844390879815444504e-04
8.000000000000000000e+00 1.051452196924388405e-01 7.564957322077825105e-03 3.795674162436276527e-04
8.050000000000000711e+00 1.048479851210862429e-01 7.657342842444777274e-03 3.756990406601689800e-04
8.099999999999999645e+00 1.045304908242821740e-01 7.717264090725221327e-03 3.724446094120387228e-04
8.150000000000000355e+00 1.041854879502207010e-01 7.747907294579780765e-03 3.685748068191576385e-04
8.199999999999999289e+00 1.038091161690652409e-01 7.770481107975357044e-03 3.629687202742788851e-04
8.250000000000000000e+00 1.034004298412054823e-01 7.797937313807196819e-03 3.561528680569957923e-04
8.300000000000000711e+00 1.029591970819979940e-01 7.831142386142164388e-03 3.502322461248841084e-04
8.349999999999999645e+00 1.024856921295076578e-01 7.865770831853151693e-03 3.457778747596777997e-04
8.400000000000000355e+00 1.019837880723178380e-01 7.897333562308922819e-03 3.438773612852208438e-04
8.449999999999999289e+00 1.014616541215777462e-01 7.925670038470998199e-03 3.450744751631747674e-04
8.500000000000000000e+00 1.009289377147704336e-01 7.955393902063370021e-03 3.487079634890892055e-04
8.550000000000000711e+00 1.003932296128570989e-01 7.991624004952610494e-03 3.525844822753686453e-04
8.599999999999999645e+00 9.985926877304911187e-02 8.038638054654002538e-03 3.554621707968414249e-04
8.650000000000000355e+00 9.933039189890026377e-02 8.098084417283536035e-03 3.562027670803479874e-04
8.699999999999999289e+00 9.880874070212244953e-02 8.169986009397544116e-03 3.536794383903033609e-04
8.750000000000000000e+00 9.829379072405397544e-02 8.256386134000495702e-03 3.469285424755886292e-04
8.800000000000000711e+00 9.778343603491783387e-02 8.359683502190747018e-03 3.356934897517785464e-04
8.849999999999999645e+00 9.727554366067052427e-02 8.478580988789908776e-03 3.236404911119956191e-04
8.900000000000000355e+00 9.676563552640378429e-02 8.607221403345464636e-03 3.116895516925957178e-04
8.949999999999999289e+00 9.625317481540143771e-02 8.738255788534880081e-03 2.996124858747236373e-04
9.000000000000000000e+00 9.574493705563247303e-02 8.866697078468278523e-03 2.879718985257204459e-04
9.050000000000000711e+00 9.525039576597511826e-02 8.988019762970507823e-03 2.775336318106390722e-04
9.099999999999999645e+00 9.477625438019633697e-02 9.097544135656207565e-03 2.692991909107193328e-04
9.150000000000000355e+00 9.432306531876324951e-02 9.192223845575936761e-03 2.640497729439754047e-04
9.199999999999999289e+00 9.388447312660515298e-02 9.271096089258790834e-03 2.612198597047012344e-04
9.250000000000000000e+00 9.345068978182971553e-02 9.335414453512057981e-03 2.590457996199838986e-04
9.300000000000000711e+00 9.301553768470884054e-02 9.387386423316785439e-03 2.570237457227427750e-04
9.349999999999999645e+00 9.258049508459866017e-02 9.431097296555526061e-03 2.560369375474751065e-04
9.400000000000000355e+00 9.215089481212199174e-02 9.470042675035074409e-03 2.573632411160971765e-04
9.449999999999999289e+00 9.172741711221635286e-02 9.503731585629284287e-03 2.609763185022398848e-04
9.500000000000000000e+00 9.130315727911889057e-02 9.529623461156152414e-03 2.643765035344753777e-04
9.550000000000000711e+00 9.086953372403978879e-02 9.542916564811021116e-03 2.637176957565359986e-04
9.599999999999999645e+00 9.042303135983645324e-02 9.539097168715671496e-03 2.594894753125030697e-04
9.650000000000000355e+00 8.996535171099007133e-02 9.522900307844393147e-03 2.512288900004233899e-04
9.699999999999999289e+00 8.950286034464835505e-02 9.503585955728777526e-03 2.404989520364440782e-04
9.750000000000000000e+00 8.903861542053520539e-02 9.489575982000678783e-03 2.314808216930832848e-04
9.800000000000000711e+00 8.856516826823353228e-02 9.481658260896801138e-03 2.242209754058160042e-04
9.849999999999999645e+00 8.807019957706331559e-02 9.475833737128413342e-03 2.168266557035036606e-04
9.900000000000000355e+00 8.755017431497573444e-02 9.472616238351910800e-03 2.082272659624461418e-04
9.949999999999999289e+00 8.702081968501210185e-02 9.478966322271152600e-03 2.035044750813394976e-04
1.000000000000000000e+01 8.650400496371089820e-02 9.501094264429993386e-03 2.038769133142661184e-04
1.005000000000000071e+01 8.601038911826908162e-02 9.540455882870592375e-03 2.044673235837835804e-04
1.009999999999999964e+01 8.554190107159316547e-02 9.588765745325945888e-03 2.009270972601138040e-04
1.015000000000000036e+01 8.510162611007690558e-02 9.636224768827668721e-03 1.948114202768542005e-04
1.019999999999999929e+01 8.469208997160196373e-02 9.677870670342817588e-03 1.887494945350568583e-04
1.025000000000000000e+01 8.430955183342099535e-02 9.712041699741966877e-03 1.836674303135834739e-04
1.030000000000000071e+01 8.394710196711123451e-02 9.735728749730623854e-03 1.784545435260515684e-04
1.034999999999999964e+01 8.360128879584372008e-02 9.747088025412522019e-03 1.752395058352500365e-04
1.040000000000000036e+01 8.326544595174491248e-02 9.749118117070756928e-03 1.729707330193836282e-04
1.044999999999999929e+01 8.292922502420842223e-02 9.742339882110245125e-03 1.688749300653580722e-04
1.050000000000000000e+01 8.258685125663876858e-02 9.728236945807003377e-03 1.646487216675188614e-04
1.055000000000000071e+01 8.223317775972187327e-02 9.713252448216080914e-03 1.619984397899825379e-04
1.059999999999999964e+01 8.185948574930429489e-02 9.702723442874849544e-03 1.603412327922415265e-04
1.065000000000000036e+01 8.145897433035075019e-02 9.694647034290246670e-03 1.586824294431134989e-04
1.069999999999999929e+01 8.103063375398517065e-02 9.691031312597915559e-03 1.544396317416802116e-04
1.075000000000000000e+01 8.057893871493637672e-02 9.701070168395527563e-03 1.479238793631549925e-04
1.080000000000000071e+01 8.010823761492967543e-02 9.730347078200429073e-03 1.420180356024298800e-04
1.084999999999999964e+01 7.961845501735806407e-02 9.776159562603570913e-03 1.379603463674895542e-04
1.090000000000000036e+01 7.910811097666621550e-02 9.833628400233574221e-03 1.339795424030628117e-04
1.094999999999999929e+01 7.857827959202229318e-02 9.900043947878293948e-03 1.309431091192644154e-04
1.100000000000000000e+01 7.803005964875221745e-02 9.969601653888821371e-03 1.307210328750778067e-04
1.105000000000000071e+01 7.746445421226322292e-02 1.003438322018831812e-02 1.323702658713795267e-04
1.109999999999999964e+01 7.688692320384085677e-02 1.008997561562340745e-02 1.331173542710952407e-04
1.115000000000000036e+01 7.630821121007204388e-02 1.014188851593993655e-02 1.322413396535906905e-04
1.119999999999999929e+01 7.573947802744805669e-02 1.019559201104100823e-02 1.316956657351460252e-04
1.125000000000000000e+01 7.518547455139458491e-02 1.024951045012567098e-02 1.316346810901537518e-04
1.130000000000000071e+01 7.464386428974568999e-02 1.030121259711682877e-02 1.307658250733278820e-04
1.134999999999999964e+01 7.411125680895150336e-02 1.035061240277252922e-02 1.280707748864777225e-04
1.140000000000000036e+01 7.358873870649189353e-02 1.039857224157545584e-02 1.248415550722274865e-04
1.144999999999999929e+01 7.308039103323221708e-02 1.044570848036091744e-02 1.230301727266050926e-04
1.150000000000000000e+01 7.258813942322879520e-02 1.049057274385821123e-02 1.220979955019429444e-04
1.155000000000000071e+01 7.211109785258025540e-02 1.052826078152749659e-02 1.200972364136483411e-04
1.159999999999999964e+01 7.164940395983308841e-02 1.055667231491301192e-02 1.181507999326102489e-04
1.165000000000000036e+01 7.120340500364452652e-02 1.057545892976690174e-02 1.186021298884879866e-04
1.169999999999999929e+01 7.076902771563828298e-02 1.057944322011433562e-02 1.188923444153740954e-04
1.175000000000000000e+01 7.034183034332841533e-02 1.056851294965483433e-02 1.172396055388730116e-04
1.180000000000000071e+01 6.991880406705290596e-02 1.054735127909574646e-02 1.151203947758767791e-04
1.184999999999999964e+01 6.949840643835812626e-02 1.052115857401862697e-02 1.139990074414294347e-04
1.190000000000000036e+01 6.907909285058080884e-02 1.049325096340849965e-02 1.143708659474737928e-04
1.194999999999999929e+01 6.865652107082306776e-02 1.045918606068473380e-02 1.129098519278224488e-04
